书籍类别,书籍名称,作者,出版社,出版年份
专著-英文,A Critique for Ecology,Robert Henry Peters ,Cambridge University Press,1991
博物·科普-英文,A Sand County Almanac: With Essays on Conservation From Round River,Aldo Leopold,Ballantine Books,1966
英文图书,A Theory of Global Biodiversity,"Boris Worm, Derek P. Tittensor",Princeton University Press,2018
博物·科普-英文,A?Sand?County?Almanac,Aldo Leopold,Oxford University Press,1966
博物·科普-英文,Ancient Oaks in the English Landscape,Aljos Farjon,Kew Publishing,2017
专著-英文,Applied Vegetation Ecology (Proceedings of the 35th Symposium of the IAVS),"Song, Yong-Chang et al.",华东师范大学出版社,1994
英文图书,Applying Graph Theory in Ecological Research,Mark R.T. Dale,Cambridge University Press,2017
博物·科普-英文,Arts of Living on a Damaged Planet:  Monsters of the Anthropocene,"Anna Tsing, Heather Swanson, Elaine Gan, Nils Bubandt",University of Minnesota Press,2017
博物·科普,AR奇幻植物园,韩静华，丁禹懿,电子工业出版社,2018
英文图书,Biogeography (? edition),James Brown,,?
统计类图书,Biometry: the principles and practice of statistics in biological research (first、second),"Robert R. Soka, F. James Rohlf ",W. H. Freeman,1995
博物·科普-英文,Cat Wars: The Devastating Consequences of a Cuddly Killer,"Peter P. Marra, Chris Santella",Princeton University Press,2016
专著-英文,"Cause and Correiation in Biology: A User's Guide to Path Analysis, Structural  Equations and Causal Inference With R (Second Edition)",Bill Shipley,Cambridge University Press,2000
博物·科普-英文,Citizen Scientist: How Ordinary People are Changing the Face of Discovery,Caren Cooper,The Overlook Press,2016
博物·科普-英文,Citizen Scientist: Searching for Heroes and Hope in an Age of Extinction,Mary Ellen Hannibal,The Experiment,2017
专著-英文,Community Ecology (2nd Edition),"Gary G. Mittelbach, Brian J. McGill",Oxford University Press,2019
专著-英文,Conservation Criminiology,Meredith L. Gore,Wiley & Sons Ltd,2017
博物·科普-英文,Darwin's Backyard: How Small Experiments Led to A Big Theory,James T. Costa,"W. W. Norton & Company, Inc",2017
博物·科普-英文,"Dinner with Darwin: Food, Drink, And Evolution",Jonathan Silvertown,The University of Chicago Press,2017
专著-英文,Evolution: The Triumph of an Idea,Carl Zimmer,Harper Collins,2002
专著-英文,Evolutionary Cimmunity Ecology,Mark A. McPeek,Princeton University Press,2017
博物·科普-英文,Extinction: Bad Genes or Bad Luck?,David M. Raup (Introduction by Stephen Jay Gould ),W. W. Norton Company,1991
专著-英文,Forest Ecology (3rd Edition),James P. Kimmins ,Person Prentice Hall,2003
博物·科普-英文,G. Eveiyn Hutchinson and the Invention of Modern Ecology,Nancy G. Slack foreword by Edward O. Wilson,Yale University Press,2010
专著-英文,Geographical Ecology,Robert H. Macarthur,Harper & Row,1984
博物·科普-英文,Half Earth: Our Planet's Fight for Life,Edward O. Wilson,Liveright paperback,2017
博物·科普-英文,"Improbable Destinies: Fate, Chance, and the Future of Evolution",Jonathan B. Losos ,/,2017
